FC2	1xp9O1
1Bx7FN	4o	s113.134.21.1.ipda.vectant.ne.jp
5	6	0	4	e	3	1	2
g	g	2	2	7	5	a	9	7	a	9	d	b	b	9	5	a	l	j	g	c	f	g	l
o	J	E	y	D	O	E
t	b	7	9	3	1
43	1BvvYu	google-proxy-66-249-84-201.google.com	!5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko; Google Search Console) Chrome/27.0.1453 Safari/537.36	-	gw,co,o
42	1BvvFX	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.82 Safari/537.36	!ygkb.jp/	gw,co,o
41	1BvvAO	125x100x73x82.ap125.ftth.ucom.ne.jp	!5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36	-	uY,hq,o
40	1BvrpS	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.82 Safari/537.36	!ygkb.jp/wp/wp-admin/edit.php?post_type=feedback	uY,hq,o
3Z	1Bvr8L	google-proxy-66-102-6-92.google.com	!5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko; Google Web Preview) Chrome/27.0.1453 Safari/537.36	!www.google.com/search	gw,gw,o
3Y	1BvqFp	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.82 Safari/537.36	-	uY,hq,o
3X	1BvqyL	msnbot-207-46-13-140.search.msn.com	!5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)	-	gw,co,o
3W	1BvlJw	h219-110-174-021.catv02.itscom.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36 OPR/36.0.2130.46	https://www.google.co.jp/	uY,hq,o
3V	1BvdAa	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.82 Safari/537.36	-	uY,hq,o
3U	1Bvdug	i125-203-222-217.s61.a027.ap.plala.or.jp	!5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36	https://www.google.co.jp/	kE,cU,o
3T	1Bv7YR	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.82 Safari/537.36	!yugen.pya.jp/wp/wp-admin/post.php?post=471&action=edit	uY,hq,o
3S	1BuEq6	ec2-52-50-153-171.eu-west-1.compute.amazonaws.com	Java/1.8.0_45	-	-
3R	1BuuyV	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.82 Safari/537.36	-	uY,hq,o
3Q	1Buo73	p17021-ipngn11301marunouchi.tokyo.ocn.ne.jp	!5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0	-	uY,hq,o
3P	1Bu8eC	211.5.124.152	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36	https://www.google.co.jp/	m2,co,o
3O	1Bu6aN	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36	-	ne,ew,o
3N	1BtI43	KD111238046213.au-net.ne.jp	!5.0 (Windows NT 10.0; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0	https://www.google.co.jp	oM,dW,o
3M	1Btpxj	220-158-18-205.east.ap.gmo-isp.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36	https://www.google.co.jp/	uY,hq,o
3L	1BsTwp	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36	!yugen.pya.jp/wp/wp-admin/index.php	ne,ew,o
3K	1BsjmK	219.99.181.1	!5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko	!search.yahoo.co.jp/search?p=%E3%83%89%E3%83%A9%E3%82%A4%E3%83%96%E3%82%A4%E3%83%B3+%E3%81%BF%E3%81%A1%E3%81%97%E3%81%8A+%E8%BB%8A%E4%B8%AD%E6%B3%8A&search.x=1&tid=top_ga1_sa&ei=UTF-8&fr=top_ga1_sa&b=11	m2,co,o
3J	1BrYvO	p2371171-ipngn18001marunouchi.tokyo.ocn.ne.jp	!5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36	https://www.google.co.jp/	kE,gw,o
3I	1BrvAk	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36	-	ne,ew,o
3H	1BqQVD	59-190-181-38f1.nar1.eonet.ne.jp	!5.0 (Windows NT 10.0; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0	https://www.google.co.jp	uY,hq,o
3G	1BqNid	google-proxy-66-102-6-184.google.com	!5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko; Google Web Preview) Chrome/27.0.1453 Safari/537.36	!www.google.com/search	gw,gw,o
3F	1BqBSL	KD111104195013.ppp-bb.dion.ne.jp	!5.0 (Linux; Android 5.1.1; Nexus 9 Build/LMY48T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Safari/537.36	https://www.google.co.jp/	gw,co,w
3E	1Bqy79	msnbot-40-77-167-2.search.msn.com	!5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)	-	gw,co,o
3D	1Bqf0A	msnbot-157-55-39-112.search.msn.com	!5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)	-	gw,co,o
3C	1Bqa3K	p2936171-ipngn18201marunouchi.tokyo.ocn.ne.jp	!5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0	-	uY,hq,o
3B	1BpSGL	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36	!yugen.pya.jp/wp/wp-admin/index.php	ne,ew,o
3A	1BpNc3	125x100x73x82.ap125.ftth.ucom.ne.jp	!5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36	-	uY,hq,o
3z	1Bp9O2	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36	-	ne,ew,o
3y	1Bp8Wt	ZM012102.ppp.dion.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.106 Safari/537.36	https://www.google.co.jp/	Fi,ne,o
3x	1Bomts	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36	-	ne,ew,o
3w	1BolWs	119.225.221.42	Java/1.6.0_04	-	-
3v	1Bo1Is	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36	-	ne,ew,o
3u	1Bnlxv	115-124-233-143.ppp.bbiq.jp	!5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36	-	uY,hq,o
3t	1Bnlhz	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36	-	ne,ew,o
3s	1BnhkE	dcm1-221-171-158-103.tky.mesh.ad.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36	!yugen.pya.jp/wp/wp-admin/update-core.php?action=do-theme-upgrade	ne,ew,o
3r	1Bjvcl	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36	-	ne,ew,o
3q	1Bimb0	msnbot-207-46-13-81.search.msn.com	!5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)	-	gw,co,o
3p	1BhG2Y	p870110-ipngn503funabasi.chiba.ocn.ne.jp	!5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko	!nalchemy.com/link/	uY,hq,o
3o	1BgIz7	125-9-117-31.rev.home.ne.jp	!5.0 (Nintendo WiiU) AppleWebKit/536.30 (KHTML, like Gecko) NX/3.0.4.2.12 NintendoBrowser/4.3.1.11264.JP	!search.yahoo.co.jp/search;_ylt=A3aX6e3KOm5X3mgASTuJBtF7?p=%E6%9C%89%E9%99%90%E5%B7%A5%E6%88%BF&search.x=1&fr=top_ga1_sa&tid=top_ga1_sa&ei=UTF-8&aq=&oq=&afs=	kE,bC,w
3n	1Bf89n	d-117-74-21-169.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36	-	m2,co,o
3m	1BcrZX	pab6ae8.tubehm00.ap.so-net.ne.jp	!5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; MAARJS; rv:11.0) like Gecko	!nalchemy.com/link/	m2,co,o
3l	1Bcp0L	ZM012102.ppp.dion.ne.jp	!5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko	!www.google.co.jp/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0ahUKEwiZ18Ob5KTNAhVjIKYKHU5MA1wQFggbMAA&url=http%3A%2F%2Fyugen.pya.jp%2F&usg=AFQjCNHdieBh2uu-AsWbshygovkw7JWn3Q&sig2=pUjzysO-jFaJpp4BsGh3Ng&bvm=bv.124272578,d.dGY	jZ,bf,o
3k	1BbEFf	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36	-	ne,ew,o
3j	1Bbj0e	ZM012102.ppp.dion.ne.jp	!5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36	https://www.google.co.jp/	uY,hq,o
3i	1B9MWz	osaki062125.urban.ne.jp	!5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko	!search.yahoo.co.jp/search?p=%97L%8C%C0%8DH%96%5B&fr=ysswb&ei=Shift_JIS&search.x=0&search.y=0	m2,co,o
3h	1B90S2	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36	-	ne,ew,o
3g	1B8hgi	em119-72-199-151.pool.e-mobile.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.63 Safari/537.36	https://www.google.co.jp/	uY,hq,o
3f	1B6kaW	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36	https://www.google.co.jp/	ne,ew,o
3e	1B6acy	I023129.ppp.dion.ne.jp	Opera/9.80 (Windows NT 5.0; U; ja) Presto/2.6.30 Version/10.63	!www.google.co.jp/url?url=http://yugen.pya.jp/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiwreuGwfnMAhWJopQKHUn6CrIQFggUMAA&sig2=cNtTlVuMdcYRDv5pPwOAPg&usg=AFQjCNEgqNY5yYGFKoksojJvBAF8LGnBRw	gw,co,o
3d	1B69ie	210.233.22.43	!5.0 (Windows NT 6.1; rv:46.0) Gecko/20100101 Firefox/46.0	https://www.google.co.jp	uY,hq,o
3c	1B65ZO	d-117-74-21-169.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36	-	m2,co,o
3b	1B61e0	crawl-66-249-79-19.googlebot.com	!5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	-	gw,co,o
3a	1B61dP	google-proxy-66-249-84-141.google.com	!5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko; Google Search Console) Chrome/27.0.1453 Safari/537.36	-	gw,co,o
39	1B6171	google-proxy-66-249-82-215.google.com	!5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko; Google Page Speed Insights) Chrome/27.0.1453 Safari/537.36	-	gw,co,o
38	1B615k	google-proxy-66-249-82-209.google.com	!5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko; Google Page Speed Insights) Chrome/27.0.1453 Safari/537.36	-	gw,co,o
37	1B6155	google-proxy-66-249-88-164.google.com	!5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko; Google Page Speed Insights) Chrome/27.0.1453 Safari/537.36	-	gw,co,o
36	1B5AI2	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36	!yugen.pya.jp/wp/wp-admin/post.php?post=395&action=edit	ne,ew,o
35	1B5ACV	google-proxy-66-102-6-195.google.com	!5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko; Google Web Preview) Chrome/27.0.1453 Safari/537.36	!www.google.com/search	gw,gw,o
34	1B49md	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36	-	ne,ew,o
33	1AVoTt	d-117-74-21-169.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36	-	m2,co,o
32	1AQh4M	p8005-ipngn3101souka.saitama.ocn.ne.jp	!5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1	!yugen.pya.jp/2016/01/	co,gw,w
31	1ALZIB	d-117-74-21-169.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36	-	m2,co,o
30	1AKwK5	p4a89af.ibrknt01.ap.so-net.ne.jp	!5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	!yugen.pya.jp/%E3%81%93%E3%81%AE%E3%82%B5%E3%82%A4%E3%83%88%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6/	uY,hq,o
2Z	1AGZOk	d-117-74-21-169.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36	-	m2,co,o
2Y	1ACGae	ntchba261084.chba.nt.ngn2.ppp.infoweb.ne.jp	!5.0 (Windows NT 10.0; Win64; x64; rv:44.0) Gecko/20100101 Firefox/44.0	https://www.google.co.jp	cU,9G,o
2X	1AA8Bl	msnbot-40-77-167-2.search.msn.com	!5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)	-	gw,co,o
2W	1AzuNp	KD113153086102.ppp-bb.dion.ne.jp	!5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36	!yugen.pya.jp/category/kurowiz/	m2,co,o
2V	1AvBHM	59-171-156-199.rev.home.ne.jp	!5.0 (Windows NT 6.1; rv:44.0) Gecko/20100101 Firefox/44.0	https://www.google.co.jp	qQ,f6,o
2U	1Aq5VB	p20175-ipngn3701funabasi.chiba.ocn.ne.jp	!5.0 (Windows NT 6.1; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0	!yugen.pya.jp/2015/04/14/%e3%83%9f%e3%83%aa%e3%82%aa%e3%83%b3%e3%82%b4%e3%83%83%e3%83%89-%e7%a5%9e%e3%80%85%e3%81%ae%e5%87%b1%e6%97%8b/	uY,hq,o
2T	1ApvYq	i121-117-152-144.s05.a020.ap.plala.or.jp	!5.0 (PlayStation Vita 3.57) AppleWebKit/537.73 (KHTML, like Gecko) Silk/3.2	!nalchemy.com/link/	fu,8M,o
2S	1Aoo4f	msnbot-207-46-13-132.search.msn.com	!5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)	-	gw,co,o
2R	1AnPCY	msnbot-157-55-39-45.search.msn.com	!5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)	-	0,0,o
2Q	1AnPxg	msnbot-157-55-39-44.search.msn.com	!5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)	noscript	-
2P	1Ann4x	msnbot-199-30-24-243.search.msn.com	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b	-	gw,co,o
2O	1AjH7s	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36	!yugen.pya.jp/wp/wp-admin/post-new.php	ne,ew,o
2N	1AjnQW	msnbot-40-77-167-59.search.msn.com	!5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)	-	gw,co,o
2M	1A80E6	google-proxy-66-102-6-132.google.com	!5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko; Google Web Preview) Chrome/27.0.1453 Safari/537.36	!www.google.com/search	gw,gw,o
2L	1A7J73	d-117-74-21-169.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73 Safari/537.36	-	m2,co,o
2K	1A1ZoH	KD124212148223.ppp-bb.dion.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36	!yugen.pya.jp/category/works/	uY,jm,o
2J	1A0gHV	c-73-154-48-83.hsd1.pa.comcast.net	!5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1	!nalchemy.com/link/	co,gw,w
2I	1zWRu8	101-143-36-92f1.osk3.eonet.ne.jp	!5.0 (Macintosh; Intel Mac OS X 10.8; rv:42.0) Gecko/20100101 Firefox/42.0	https://www.google.co.jp	r6,gW,o
2H	1zWvRu	d-117-74-21-169.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36	-	m2,co,o
2G	1zRFqY	pw126186097200.7.panda-world.ne.jp	!5.0 (iPad; CPU OS 9_0_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13A404 Safari/601.1	!nalchemy.com/link/	co,gw,w
2F	1zPcPu	ntsitm022001.sitm.nt.ngn.ppp.infoweb.ne.jp	!5.0 (Windows NT 10.0; Win64; x64; rv:41.0) Gecko/20100101 Firefox/41.0 SeaMonkey/2.38	!yugen.pya.jp/author/fuka/	uY,jm,o
2E	1zOyCS	KD121108192249.ppp-bb.dion.ne.jp	!5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	!www.google.co.jp/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&ved=0CCMQFjABahUKEwihppDDq9HIAhVLopQKHQ6oDDY&url=http%3A%2F%2Fyugen.pya.jp%2F&usg=AFQjCNHdieBh2uu-AsWbshygovkw7JWn3Q	uY,jm,o
2D	1zN37y	116.102.234.111.ap.yournet.ne.jp	!5.0 (iPad; CPU OS 8_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12D508 Safari/600.1.4	https://www.google.co.jp/	co,gw,w
2C	1zEPdx	d-117-74-13-179.d-cable.katch.ne.jp	!5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36	-	m2,co,o
2B	1zCQob	i58-93-180-20.s05.a001.ap.plala.or.jp	!5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0	https://www.google.co.jp	uY,hq,o
2A	1zCwJL	softbank126074131227.bbtec.net	!5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36	https://www.google.co.jp/	kE,cU,o
2z	1zBrHQ	s113.134.21.1.ipda.vectant.ne.jp	!5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36	-	ne,ew,o
2y	1zwCGn	ZU031061.ppp.dion.ne.jp	!5.0 (Windows NT 6.1; Win64; x64; rv:37.0) Gecko/20100101 Firefox/37.0 Cyberfox/37.0.2	!yugen.pya.jp/%e3%81%93%e3%81%ae%e3%82%b5%e3%82%a4%e3%83%88%e3%81%ab%e3%81%a4%e3%81%84%e3%81%a6/	kE,cU,o
2x	1zvJ1x	p76ee366e.tokynt01.ap.so-net.ne.jp	!5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.10 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.10	!yugen.pya.jp/category/kurowiz/	uY,jm,o
